S.No,Word,Split,Type
4.20.1,कर्मफलासङ्गन्नित्यतृप्तोनिराश्रयः,कर्मफल आसङ्गम् नित्यतृप्तः निः आश्रयः,consonant
4.21.3,कुर्वन्नाप्नोति,कुर्वन् आप्नोति,consonant
4.21.2,शारीरङ्केवलङ्कर्म,शारीरम् केवलम् कर्म,consonant
4.21.1,निराशीर्यतचित्तात्मा,निराशीः यतचित्त आत्मा,consonant
4.22.3,कृत्वापि,कृत्वा अपि,vowel
4.22.2,सिद्धावसिद्धौ,सिद्धौ असिद्धौ,vowel
4.22.1,यदृच्छालाभसन्तुष्टोद्वन्द्वातीतोविमत्सरः,यत् ऋच्छालाभसन्तुष्टः द्वन्द्व अतीतः विमत्सरः,consonant
4.23.3,समग्रम्प्रविलीयते,समग्रम् प्रविलीयते,consonant
4.23.2,यज्ञायाचरतः,यज्ञाय आचरतः,vowel
4.23.1,ज्ञानावस्थितचेतसः,ज्ञान अवस्थितचेतसः,consonant
4.24.4,गन्तव्यंब्रह्मकर्मसमाधिना,गन्तव्यम् ब्रह्मकर्म समाधिना,consonant
4.24.3,ब्रह्मैव,ब्रह्मा एव,vowel
4.24.2,हविर्ब्रह्माग्नौ,हविः ब्रह्मा अग्नौ,consonant
4.24.1,ब्रह्मार्पणम्ब्रह्म,ब्रह्मा अर्पणम् ब्रह्म,consonant
4.25.5,यज्ञंयज्ञेनैवोपजुह्वति,यज्ञम् यज्ञेन एव उपजुह्वति,consonant
4.25.4,ब्रह्माग्नावपरे,ब्रह्मा अग्नौ अपरे,vowel
4.25.3,पर्युपासते,परि उप आसते,vowel
4.25.2,यज्ञंयोगिनः,यज्ञम् योगिनः,consonant
4.25.1,दैवमेवापरे,दैवम् एव अपरे,consonant
4.26.4,इन्द्रियाग्निषु,इन्द्रिय अग्निषु,vowel
4.26.3,शब्दादीन्विषयानन्य,शब्द आदीन् विषयान् अन्य,consonant
4.26.2,संयमाग्निषु,संयम अग्निषु,vowel
4.26.1,श्रोत्रादीनीन्द्रियाण्यन्ये,श्रोत्र आदीनि इन्द्रियाणि अन्ये,vowel
4.27.3,आत्मसंयमयोगाग्नौ,आत्मसंयमयोग अग्नौ,consonant
4.27.2,चापरे,च अपरे,vowel
4.27.1,सर्वाणीन्द्रियकर्माणि,सर्वाणि इन्द्रियकर्माणि,consonant
4.28.2,स्वाध्यायज्ञानयज्ञाश्च,स्व अध्यायज्ञानयज्ञाः च,consonant
4.28.1,द्रव्ययज्ञास्तपोयज्ञायोगयज्ञास्तथापरे,द्रव्ययज्ञाः तपः यज्ञाः योगयज्ञाः तथा अपरे,consonant
4.29.3,प्राणायामपरायणाः,प्राण आयामपर अयणाः,consonant
4.29.2,प्राणापानगती,प्राण अपानगती,vowel
4.29.1,प्राणम्प्राणेऽपानम्तथापरे,प्राणम् प्राणे अपानम् तथा अपरे,consonant
4.30.3,सर्वेऽप्येते,सर्वे अपि एते,vowel
4.30.2,प्राणान्प्राणेषु,प्राणान् प्राणेषु,consonant
4.30.1,नियताहाराः,नियत आहाराः,vowel
4.31.3,कुतोऽन्यः,कुतः अन्यः,visarga
4.31.2,नायंलोकोऽस्त्ययज्ञस्य,न अयम् लोकः अस्ति अयज्ञस्य,consonant
4.31.1,यज्ञशिष्टामृतभुजोयान्ति,यज्ञशिष्ट अमृतभुजः यान्ति,consonant
4.32.3,तान्सर्वानेवञ्ज्ञात्वा,तान् सर्वान् एवम् ज्ञात्वा,consonant
4.32.2,कर्मजान्विद्धि,कर्मजान् विद्धि,consonant
4.32.1,एवम्बहुविधायज्ञावितताब्रह्मणोमुखे,एवम् बहुविधाः यज्ञाः वितताः ब्रह्मणः मुखे,consonant
4.33.3,सर्वङ्कर्माखिलम्पार्थ,सर्वम् कर्म अखिलम् पार्थ,consonant
4.33.2,परन्तप,परम् तप,consonant
4.33.1,श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञः,श्रेयान् द्रव्यमयात् यज्ञात् ज्ञानयज्ञः,consonant
4.34.2,ज्ञानञ्ज्ञानिनस्तत्त्वदर्शिनः,ज्ञानम् ज्ञानिनः तत्त्वदर्शिनः,consonant
4.34.1,तद्विद्धि,तत् विद्धि,consonant
4.35.4,द्रक्ष्यस्यात्मन्यथोमयि,द्रक्ष्यसि आत्मनि अथः मयि,consonant
4.35.3,भूतान्यशेषेण,भूतानि अशेषेण,vowel
4.35.2,पुनर्मोहमेवंयास्यसि,पुनः मोहम् एवम् यास्यसि,consonant
4.35.1,यज्ज्ञात्वा,यत् ज्ञात्वा,consonant
4.36.3,वृजिनंसन्तरिष्यसि,वृजिनम् सम् तरिष्यसि,consonant
4.36.2,सर्वञ्ज्ञानप्लवेनैव,सर्वम् ज्ञानप्लवेन एव,consonant
4.36.1,चेदसि,चेत् असि,consonant
4.37.4,भस्मसात्कुरुते,भस्मसात् कुरुते,consonant
4.37.3,ज्ञानाग्निः,ज्ञान अग्निः,vowel
4.37.2,समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन,समिद्धः अग्निः भस्मसात् कुरुते अर्जुन,consonant
4.37.1,यथैधांसि,यथा एधांसि,vowel
4.38.3,कालेनात्मनि,कालेन आत्मनि,vowel
4.38.2,तत्स्वयंयोगसंसिद्धः,तत् स्वयम् योगसम् सिद्धः,consonant
4.38.1,सदृशम्पवित्रमिह,सदृशम् पवित्रम् इह,consonant
4.39.5,परांशान्तिमचिरेणाधिगच्छति,पराम् शान्तिम् अचिरेण अधिगच्छति,consonant
4.39.4,ज्ञानंलब्ध्वा,ज्ञानम् लब्ध्वा,consonant
4.39.3,संयतेन्द्रियः,संयत इन्द्रियः,vowel
4.39.2,ज्ञानन्तत्परः,ज्ञानम् तत्परः,consonant
4.39.1,श्रद्धावाँल्लभते,श्रद्धावान् लभते,consonant
4.40.5,सुखंसंशयात्मनः,सुखम् संशय आत्मनः,consonant
4.40.4,परोन,परः न,visarga
4.40.3,नायंलोकोऽस्ति,न अयम् लोकः अस्ति,consonant
4.40.2,संशयात्मा,संशय आत्मा,vowel
4.40.1,अज्ञश्चाश्रद्धधानश्च,अज्ञः च अश्रद्धधानः च,consonant
4.41.3,धनञ्जय,धनम् जय,consonant
4.41.2,आत्मवन्तन्न,आत्मवन्तम् न,consonant
4.41.1,योगसन्न्यस्तकर्माणञ्ज्ञानसञ्छिन्नसंशयम्,योगसम् न्यस्तकर्माणम् ज्ञानसम् छिन्नसंशयम्,consonant
4.42.2,छित्त्वैनंसंशयंयोगमातिष्ठोत्तिष्ठ,छित्त्वा एनम् संशयम् योगम् आतिष्ठ उत्तिष्ठ,consonant
4.42.1,तस्मादज्ञानसम्भूतंहृत्स्थञ्ज्ञानासिनात्मनः,तस्मात् अज्ञानसम्भूतम् हृत्स्थम् ज्ञान असिन आत्मनः,consonant
4.43.6,चतुर्थोऽध्यायः,चतुर्थः अध्यायः,visarga
4.43.5,ज्ञानकर्मसन्न्यासयोगोनाम,ज्ञानकर्मसम् न्यासयोगः नाम,consonant
4.43.4,श्रीकृष्णार्जुनसंवादे,श्रीकृष्ण अर्जुनसंवादे,consonant
4.43.3,ब्रह्मविद्यायांयोगशास्त्रे,ब्रह्मविद्यायाम् योगशास्त्रे,consonant
4.43.2,श्रीमद्भगवद्गीतासु,श्रीमत् भगवत् गीतासु,consonant
4.43.1,ओंतत्,ओम् तत्,consonant
4..4.1,अर्जुनउवाच,अर्जुनः उवाच,visarga
4,चतुर्थोऽध्यायः,चतुर्थः अध्यायः,visarga
5.1.4,यच्छ्रेयएतयोरेकन्तन्मे,यत् श्रेयः एतयोः एकम् तत् मे,consonant
5.1.3,पुनर्योगञ्च,पुनः योगम् च,consonant
5.1.2,सन्न्यासंकर्मणांकृष्ण,सम् न्यासम् कर्मणाम् कृष्ण,consonant
5.1.1,अर्जुनउवाच,अर्जुनः उवाच,visarga
5.2.5,कर्मसन्न्यासात्कर्मयोगोविशिष्यते,कर्मसम् न्यासात् कर्मयोगः विशिष्यते,consonant
5.2.4,तयोस्तु,तयोः तु,visarga
5.2.3,निश्श्रेयसकरावुभौ,निः श्रेयसकरौ उभौ,consonant
5.2.2,कर्मयोगश्च,कर्मयोगः च,consonant
5.2.1,श्रीभगवानुवाच,श्रीभगवान् उवाच,consonant
5.3.4,महाबाहोसुखम्बन्धात्प्रमुच्यते,महाबाहः सुखम् बन्धात् प्रमुच्यते,consonant
5.3.3,निर्द्वन्द्वोहि,निः द्वन्द्वः हि,visarga
5.3.2,योन,यः न,visarga
5.3.1,सनित्यसन्न्यासी,सः नित्यसम् न्यासी,consonant
5.4.3,सम्यगुभयोर्विन्दते,सम्यक् उभयोः विन्दते,consonant
5.4.2,एकमप्यास्थितः,एकम् अपि आस्थितः,consonant
5.4.1,पृथग्बालाः,पृथक् बालाः,consonant
5.5.5,सपश्यति,सः पश्यति,visarga
5.5.4,योगञ्च,योगम् च,consonant
5.5.3,एकंसाङ्ख्यञ्च,एकम् साङ्ख्यम् च,consonant
5.5.2,स्थानन्तद्योगैरपि,स्थानम् तत् योगैः अपि,consonant
5.5.1,यत्सांख्यैः,यत् सांख्यैः,consonant
5.6.4,चिरेणाधिगच्छति,चिरेण अधिगच्छति,vowel
5.6.3,योगयुक्तोमुनिर्ब्रह्म,योगयुक्तः मुनिः ब्रह्म,consonant
5.6.2,महाबाहोदुःखमाप्तुमयोगतः,महाबाहः दुःखम् आप्तुम् अयोगतः,consonant
5.6.1,सन्न्यासस्तु,सम् न्यासः तु,consonant
5.7.5,कुर्वन्नपि,कुर्वन् अपि,consonant
5.7.4,सर्वभूतात्मभूतात्मा,सर्वभूत आत्मभूत आत्मा,consonant
5.7.3,जितेन्द्रियः,जित इन्द्रियः,vowel
5.7.2,विजितात्मा,विजित आत्मा,vowel
5.7.1,योगयुक्तोविशुद्धात्मा,योगयुक्तः विशुद्ध आत्मा,consonant
5.8.4,पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन्,पश्यन् श्रृण्वन् स्पृशन् जिघ्रन् अश्नन् गच्छन् स्वपन् श्वसन्,consonant
5.8.3,युक्तोमन्येत,युक्तः मन्येत,visarga
5.8.2,किञ्चित्करोमीति,किम् चित् करोमि इति,consonant
5.8.1,नैव,न एव,vowel
5.9.3,वर्तन्तइति,वर्तन्ते इति,vowel
5.9.2,इन्द्रियाणीन्द्रियार्थेषु,इन्द्रियाणि इन्द्रिय अर्थेषु,vowel
5.9.1,प्रलपन्विसृजन्गृह्णनुन्मिषन्निमिषन्नपि,प्रलपन् विसृजन् गृह्णन् उन्मिषन् निमिषन् अपि,consonant
5.10.4,पद्मपत्रमिवाम्भसा,पद्मपत्रम् इव अम्भसा,consonant
5.10.3,सपापेन,सः पापेन,consonant
5.10.2,सङ्गन्त्यक्त्वा,सङ्गम् त्यक्त्वा,consonant
5.10.1,ब्रह्मण्याधाय,ब्रह्मणि आधाय,vowel
5.11.2,सङ्गन्त्यक्त्वात्मशुद्धये,सङ्गम् त्यक्त्वा आत्मशुद्धये,consonant
5.11.1,केवलैरिन्द्रियैरपि,केवलैः इन्द्रियैः अपि,visarga
5.12.4,सक्तोनिबध्यते,सक्तः निबध्यते,visarga
5.12.2,शान्तिमाप्नोति,शान्तिम् आप्नोति,consonant
5.12.1,कर्मफलन्त्यक्त्वा,कर्मफलम् त्यक्त्वा,consonant
5.13.4,कुर्वन्न,कुर्वन् न,consonant
5.13.3,नैव,न एव,vowel
5.13.2,सुखंवंशो,सुखम् वंशो,consonant
5.13.1,सन्न्यस्यास्ते,सम् न्यस्य आस्ते,consonant
5.14.2,कर्मफलसंयोगम्स्वभावस्तु,कर्मफलसंयोगम् स्वभावः तु,consonant
5.14.1,कर्तृत्वन्न,कर्तृत्वम् न,consonant
5.15.5,अज्ञानेनावृतंज्ञानंतेन,अज्ञानेन आवृतम् ज्ञानम् तेन,consonant
5.15.4,सुकृतंविभुः,सुकृतम् विभुः,consonant
5.15.3,चैव,च एव,vowel
5.15.2,पापंन,पापम् न,consonant
5.15.1,नादत्ते,न आदत्ते,vowel
5.16.4,तत्परम्,तत् परम्,consonant
5.16.3,तेषामादित्यवज्ज्ञानम्प्रकाशयति,तेषाम् आदित्यवत् ज्ञानम् प्रकाशयति,consonant
5.16.2,येषान्नाशितमात्मनः,येषाम् नाशितम् आत्मनः,consonant
5.16.1,तदज्ञानम्,तत् अज्ञानम्,consonant
5.17.2,गच्छन्त्यपुनरावृत्तिंज्ञाननिर्धूतकल्मषाः,गच्छन्ति अपुनः आवृत्तिम् ज्ञाननिः धूतकल्मषाः,consonant
5.17.1,तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणाः,तत् बुद्धयः तदा आत्मानः तत् निष्ठाः तत् पर अयणाः,consonant
5.18.2,चैव,च एव,vowel
5.18.1,विद्याविनयसम्पन्ने,विद्या विनय सम्पन्ने,consonant
5.19.7,तस्माद्ब्रह्मणि,तस्मात् ब्रह्मणि,consonant
5.19.6,समम्ब्रह्म,समम् ब्रह्म,consonant
5.19.5,निर्दोषंहि,निः दोषम् हि,consonant
5.19.4,स्थितम्मनः,स्थितम् मनः,consonant
5.19.3,येषांसाम्ये,येषाम् साम्ये,consonant
5.19.2,तैर्जितः,तैः जितः,visarga
5.19.1,इहैव,इह एव,vowel
5.20.4,स्थिरबुद्धिरसम्मूढोब्रह्मविद्ब्रह्मणि,स्थिरबुद्धिः असम् मूढः ब्रह्मवित् ब्रह्मणि,consonant
5.20.3,चाप्रियम्,च अप्रियम्,vowel
5.20.2,नोद्विजेत्प्राप्य,न उत् विजेत् प्राप्य,consonant
5.20.1,प्रहृष्येत्प्रियम्प्राप्य,प्रहृष्येत् प्रियम् प्राप्य,consonant
5.21.5,सुखमक्षयमश्नुते,सुखम् अक्षयम् अश्नुते,consonant
5.21.4,सब्रह्मयोगयुक्तात्मा,सः ब्रह्मयोगयुक्त आत्मा,consonant
5.21.3,यत्सुखम्,यत् सुखम्,consonant
5.21.2,विन्दत्यात्मनि,विन्दति आत्मनि,vowel
5.21.1,बाह्यस्पर्शेष्वसक्तात्मा,बाह्यस्पर्शेषु असक्त आत्मा,consonant
5.22.2,आद्यन्तवन्तः,आदि अन्तवन्तः,vowel
5.22.1,संस्पर्शजाभोगादुःखयोनयएव,सम् स्पर्शजाः भोगाः दुःखयोनयः एव,consonant
5.23.4,ससुखी,सः सुखी,visarga
5.23.3,कामक्रोधोद्भवंवेगंसयुक्तः,कामक्रोध उद्भवम् वेगम् सः युक्तः,consonant
5.23.2,सोढुम्प्राक्शरीरविमोक्षणात्,सोढुम् प्राक् शरीरविमोक्षणात्,consonant
5.23.1,शक्नोतीहैव,शक्नोति इह एव,vowel
5.24.3,ब्रह्मनिर्वाणम्ब्रह्मभूतोऽधिगच्छति,ब्रह्मनिर्वाणम् ब्रह्मभूतः अधिगच्छति,consonant
5.24.2,सयोगी,सः योगी,visarga
5.24.1,योऽन्तःसुखोऽन्तरारामस्तथान्तर्ज्योतिरेव,यः अन्तः सुखः अन्तरारामः तथा अन्तर्ज्योतिः एव,consonant
5.25.2,छिन्नद्वैधायतात्मानः,छिन्नद्वैधाः यत आत्मानः,consonant
5.25.1,ब्रह्मनिर्वाणमृषयः,ब्रह्मनिर्वाणम् ऋषयः,consonant
5.26.3,विदितात्मनाम्,विदित आत्मनाम्,vowel
5.26.2,अभितोब्रह्मनिर्वाणंवर्तते,अभितः ब्रह्मनिर्वाणम् वर्तते,consonant
5.26.1,कामक्रोधवियुक्तानांयतीनांयतचेतसाम्,कामक्रोधवियुक्तानाम् यतीनाम् यतचेतसाम्,consonant
5.27.4,नासाभ्यन्तरचारिणौ,नासाभि अन्तरचारिणौ,consonant
5.27.3,प्राणापानौ,प्राण अपानौ,vowel
5.27.2,बहिर्बाह्यांश्चक्षुश्चैवान्तरे,बहिः बाह्यान् चक्षुः च एव अन्तरे,consonant
5.27.1,स्पर्शान्कृत्वा,स्पर्शान् कृत्वा,consonant
5.28.3,मुक्तएव,मुक्तः एव,consonant
5.28.2,विगतेच्छाभयक्रोधोयः,विगत इच्छाभयक्रोधः यः,consonant
5.28.1,यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायणः,यत इन्द्रियमनः बुद्धिः मुनिः मोक्षपर अयणः,consonant
5.29.3,मांशान्तिमृच्छति,माम् शान्तिम् ऋच्छति,consonant
5.29.2,सुहृदंसर्वभूतानाञ्ज्ञात्वा,सुहृदम् सर्वभूतानाम् ज्ञात्वा,consonant
5.29.1,भोक्तारंयज्ञतपसांसर्वलोकमहेश्वरम्,भोक्तारम् यज्ञतपसाम् सर्वलोकमहा ईश्वरम्,consonant
5.30.6,पञ्चमोऽध्यायः,पञ्चमः अध्यायः,visarga
5.30.5,कर्मसन्न्यासयोगोनाम,कर्मसम् न्यासयोगः नाम,consonant
5.30.4,श्रीकृष्णार्जुनसंवादे,श्रीकृष्ण अर्जुनसंवादे,consonant
5.30.3,ब्रह्मविद्यायांयोगशास्त्रे,ब्रह्मविद्यायाम् योगशास्त्रे,consonant
5.30.2,श्रीमद्भगवद्गीतासु,श्रीमत् भगवत् गीतासु,consonant
5.30.1,ओंतत्,ओम् तत्,consonant
5,पञ्चमोऽध्यायः,पञ्चमः अध्यायः,visarga
6.1.6,चाक्रियः,च अक्रियः,vowel
6.1.5,निरग्निर्न,निः अग्निः न,visarga
6.1.4,ससन्न्यासी,सः सम् न्यासी,consonant
6.1.3,कर्मफलंकार्यंकर्म,कर्मफलम् कार्यम् कर्म,consonant
6.1.2,अनाश्रितः,अन् आश्रितः,consonant
6.1.1,श्रीभगवानुवाच,श्रीभगवान् उवाच,consonant
6.2.4,कश्चन,कः चन,visarga
6.2.3,ह्यसन्न्यस्तसङ्कल्पोयोगी,हि असम् न्यस्तसङ्कल्पः योगी,consonant
6.2.2,प्राहुर्योगन्तंविद्धि,प्र आहुः योगम् तम् विद्धि,consonant
6.2.1,यंसन्न्यासमिति,यम् सम् न्यासम् इति,consonant
6.3.5,कारणमुच्यते,कारणम् उच्यते,consonant
6.3.4,तस्यैव,तस्य एव,vowel
6.3.3,योगारूढस्य,योग आरूढस्य,vowel
6.3.2,कारणमुच्यते,कारणम् उच्यते,consonant
6.3.1,आरुरुक्षोर्मुनेर्योगङ्कर्म,आरुरुक्षोः मुनेः योगम् कर्म,consonant
6.4.4,योगारूढस्तदोच्यते,योग आरूढः तदा उच्यते,consonant
6.4.3,सर्वसङ्कल्पसन्न्यासी,सर्वसङ्कल्प सम् न्यासी,consonant
6.4.2,कर्मस्वनुषज्जते,कर्मसु अनुषज्जते,vowel
6.4.1,नेन्द्रियार्थेषु,न इन्द्रिय अर्थेषु,vowel
6.5.4,रिपुरात्मनः,रिपुः आत्मनः,visarga
6.5.3,ह्यात्मनोबन्धुरात्मैव,हि आत्मनः बन्धुः आत्मा एव,consonant
6.5.2,आत्मैव,आत्मा एव,vowel
6.5.1,उद्धरेदात्मनात्मानंनात्मानमवसादयेत्,उत् हरेत् आत्मना आत्मानम् न आत्मानम् अवसादयेत्,consonant
6.6.4,वर्तेतात्मैव,वर्तेत आत्मा एव,vowel
6.6.3,अनात्मनस्तु,अन् आत्मनः तु,consonant
6.6.2,येनात्मैवात्मना,येन आत्मा एव आत्मना,vowel
6.6.1,बन्धुरात्मात्मनस्तस्य,बन्धुः आत्मा आत्मनः तस्य,consonant
6.7.5,मानापमानयोः,मान अपमानयोः,vowel
6.7.4,शीतोष्णसुखदुःखेषु,शीत उष्ण सुखदुःखेषु,consonant
6.7.3,समाहितः,सम् आहितः,consonant
6.7.2,परमात्मा,परम आत्मा,vowel
6.7.1,जितात्मनः,जित आत्मनः,vowel
6.8.4,समलोष्टाश्मकाञ्चनः,समलोष्ट अश्मकाम् चनः,consonant
6.8.3,युक्तइत्युच्यते,युक्तः इति उच्यते,consonant
6.8.2,कूटस्थोविजितेन्द्रियः,कूटस्थः विजितेन्द्रियः,visarga
6.8.1,ज्ञानविज्ञानतृप्तात्मा,ज्ञानविज्ञान तृप्त आत्मा,consonant
6.9.3,समबुद्धिर्विशिष्यते,समबुद्धिः विशिष्यते,visarga
6.9.2,साधुष्वपि,साधुषु अपि,vowel
6.9.1,सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु,सुहृत् मित्र अरि उदासीन मध्यस्थ द्वेष्यबन्धुषु,consonant
6.10.4,निराशीरपरिग्रहः,निः आशीः अपरिग्रहः,visarga
6.10.3,यतचित्तात्मा,यतचित्त आत्मा,consonant
6.10.1,सततमात्मानंरहसि,सततम् आत्मानम् रहसि,consonant
6.11.2,नात्युच्छ्रितन्नातिनीचम्चैलाजिनकुशोत्तरम्,न अति उत् श्रृतम् न अतिनीचम् चैल अजिनकुशः उत्तरम्,consonant
6.11.1,स्थिरमासनमात्मनः,स्थिरम् आसनम् आत्मनः,consonant
6.12.4,युञ्ज्याद्योगमात्मविशुद्धये,युञ्ज्यात् योगम् आत्मविशुद्धये,consonant
6.12.3,उपविश्यासने,उपविश्य आसने,vowel
6.12.2,यतचित्तेन्द्रियक्रियः,यतचित्त इन्द्रियक्रियः,consonant
6.12.1,तत्रैकाग्रंमनः,तत्र एक अग्रम् मनः,consonant
6.13.2,नासिकाग्रंस्वन्दिशश्चानवलोकयन्,नासिका अग्रम् स्वम् दिशः च अन् अवलोकयन्,consonant
6.13.1,समङ्कायशिरोग्रीवन्धारयन्नचलंस्थिरः,समम् कायशिरः ग्रीवम् धारयन् अचलम् स्थिरः,consonant
6.14.4,मत्परः,मत् परः,consonant
6.14.3,मच्चित्तोयुक्तआसीत,मत् चित्तः युक्तः आसीत,consonant
6.14.2,विगतभीर्ब्रह्मचारिव्रते,विगतभीः ब्रह्मचारिव्रते,consonant
6.14.1,प्रशान्तात्मा,प्रशान्त आत्मा,vowel
6.15.2,शान्तिन्निर्वाणपरमाम्मत्संस्थामधिगच्छति,शान्तिम् निर्वाणपरमाम् मत् संस्थाम् अधिगच्छति,consonant
6.15.1,युञ्जन्नेवंसदात्मानंयोगी,युञ्जन् एवम् सत् आत्मानम् योगी,consonant
6.16.7,चार्जुन,च अर्जुन,vowel
6.16.5,जाग्रतोनैव,जाग्रतः न एव,consonant
6.16.4,चातिस्वप्नशीलस्य,च अतिस्वप्नशीलस्य,consonant
6.16.3,चैकान्तमनश्नतः,च एक अन्तम् अन् अश्नतः,consonant
6.16.2,योगोऽस्ति,योगः अस्ति,visarga
6.16.1,नात्यश्नतस्तु,न अति अश्नतः तु,consonant
6.17.3,योगोभवति,योगः भवति,visarga
6.17.2,युक्तस्वप्नावबोधस्य,युक्त स्वप्न अवबोधस्य,consonant
6.17.1,युक्ताहारविहारस्य,युक्त आहारविहारस्य,consonant
6.18.4,इत्युच्यते,इति उच्यते,vowel
6.18.3,सर्वकामेभ्योयुक्तः,सर्वकामेभ्यः युक्तः,consonant
6.18.2,निःस्पृहः,निः स्पृहः,visarga
6.18.1,विनियतञ्चित्तमात्मन्येवावतिष्ठते,विनियतम् चित्तम् आत्मनि एव अवतिष्ठते,consonant
6.19.4,युञ्जतोयोगमात्मनः,युञ्जतः योगम् आत्मनः,consonant
6.19.3,योगिनोयतचित्तस्य,योगिनः यतचित्तस्य,consonant
6.19.2,सोपमा,स उपमा,vowel
6.19.1,दीपोनिवातस्थोनेङ्गते,दीपः निवातस्थः न इङ्गते,consonant
6.20.3,चैवात्मनात्मानम्पश्यन्नात्मनि,च एव आत्मना आत्मानम् पश्यन् आत्मनि,consonant
6.20.2,चित्तन्निरुद्धंयोगसेवया,चित्तम् निरुद्धम् योगसेवया,consonant
6.20.1,यत्रोपरमते,यत्र उपरमते,vowel
6.21.4,स्थितश्चलतितत्त्वतः,स्थितः चलतितत्त्वतः,consonant
6.21.3,चैवायम्,च एव अयम्,vowel
6.21.2,बुद्धिग्राह्यमतीन्द्रियम्,बुद्धिग्राह्यम् अति इन्द्रियम्,consonant
6.21.1,सुखमात्यन्तिकंयत्,सुखम् आति अन्तिकम् यत्,consonant
6.22.5,गुरुणापि,गुरुणा अपि,vowel
6.22.4,यस्मिन्स्थितोन,यस्मिन् स्थितः न,consonant
6.22.3,नाधिकंततः,न अधिकम् ततः,consonant
6.22.2,चापरंलाभम्मन्यते,च अपरम् लाभम् मन्यते,consonant
6.22.1,यंलब्ध्वा,यम् लब्ध्वा,consonant
6.23.3,योक्तव्योयोगोऽनिर्विण्णचेतसा,योक्तव्यः योगः अनिर्विण्णचेतसा,consonant
6.23.2,सनिश्चयेन,सः निश्चयेन,visarga
6.23.1,तंविद्याद्दुःखसंयोगवियोगंयोगसञ्ज्ञितम्,तम् विद्यात् दुःखसंयोगवियोगम् योगसञ्ज्ञितम्,consonant
6.24.4,समन्ततः,समम् ततः,consonant
6.24.3,मनसैवेन्द्रियग्रामंविनियम्य,मनसा एव इन्द्रियग्रामम् विनियम्य,consonant
6.24.2,सर्वानशेषतः,सर्वान् अशेषतः,consonant
6.24.1,सङ्कल्पप्रभवान्कामांस्त्यक्त्वा,सम् कल्पप्रभवान् कामान् त्यक्त्वा,consonant
6.25.3,किञ्चिदपि,किम् चित् अपि,consonant
6.25.2,आत्मसंस्थम्मनः,आत्मसंस्थम् मनः,consonant
6.25.1,शनैरुपरमेद्बुद्ध्या,शनैः उपरमेत् बुद्ध्या,consonant
6.26.4,वशंनयेत्,वशम् नयेत्,consonant
6.26.3,ततस्ततोनियम्यैतदात्मन्येव,ततः ततः नियम्य एतत् आत्मनि एव,consonant
6.26.2,मनश्चञ्चलमस्थिरम्,मनः चञ्चलम् अस्थिरम्,consonant
6.26.1,यतोयतोनिश्चरति,यतः यतः निः चरति,visarga
6.27.3,शान्तरजसम्ब्रह्मभूतमकल्मषम्,शान्तरजसम् ब्रह्मभूतम् अकल्मषम्,consonant
6.27.2,उपैति,उप एति,vowel
6.27.1,प्रशान्तमनसंह्येनंयोगिनंसुखमुत्तमम्,प्रशान्तमनसम् हि एनम् योगिनम् सुखम् उत्तमम्,consonant
6.28.2,ब्रह्मसंस्पर्शमत्यन्तंसुखमश्नुते,ब्रह्मसंस्पर्शम् अत्यन्तम् सुखम् अश्नुते,consonant
6.28.1,युञ्जन्नेवंसदात्मानम्योगी,युञ्जन् एवम् सत् आत्मानम् योगी,consonant
6.29.3,योगयुक्तात्मा,योगयुक्त आत्मा,consonant
6.29.2,चात्मनि,च आत्मनि,vowel
6.29.1,सर्वभूतस्थमात्मानंसर्वभूतानि,सर्वभूतस्थम् आत्मानम् सर्वभूतानि,consonant
6.30.4,सच,सः च,visarga
6.30.3,तस्याहन्न,तस्य अहम् न,consonant
6.30.2,सर्वञ्च,सर्वम् च,consonant
6.30.1,योमाम्पश्यति,यः माम् पश्यति,consonant
6.31.3,सयोगी,सः योगी,visarga
6.31.2,वर्तमानोऽपि,वर्तमानः अपि,visarga
6.31.1,सर्वभूतस्थितंयोमाम्भजत्येकत्वमास्थितः,सर्वभूतस्थितम् यः माम् भजति एकत्वम् आस्थितः,consonant
6.32.6,परमोमतः,परमः मतः,visarga
6.32.5,दुःखंसयोगी,दुःखम् सः योगी,consonant
6.32.4,सुखंवा,सुखम् वा,consonant
6.32.3,योऽअर्जुन,यः अर्जुन,visarga
6.32.2,समम्पश्यति,समम् पश्यति,consonant
6.32.1,आत्मौपम्येन,आत्मा औपम्येन,vowel
6.33.5,चञ्चलत्वात्स्थितिंस्थिराम्,चञ्चलत्वात् स्थितिम् स्थिराम्,consonant
6.33.4,एतस्याहन्न,एतस्य अहम् न,consonant
6.33.3,प्रोक्तः,प्र उक्तः,vowel
6.33.2,योऽयंयोगस्त्वया,यः अयम् योगः त्वया,consonant
6.33.1,अर्जुनउवाच,अर्जुनः उवाच,visarga
6.34.4,वायोरिव,वायोः इव,visarga
